Instituição;Código;TCB;TD;TC;SR;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BRB - PRUDENCIAL;1.000.080.288;b1;C;1;S3;BRASILIA;DF;03/2025;40.052.093;6.174;713.268;1.246.954;2.316.992;6.078.894;3.314.020;2;13.676.303;29.516;692.239;1.289.042;1.434.693;466.488;165.816;0;4.077.793;285;3.509;8.475;12.126;2.916;584;0;27.895;5.836;162.948;335.270;880.106;848.147;3.738.920;3.735.281;9.706.508;26.895;1.599.959;685.204;759.006;1.399.532;4.192.486;0;8.663.081;68.353;430.199;318.781;283.490;228.441;195.918;0;1.525.182;41.362;152.109;301.729;395.217;787.176;649.497;48.240;2.375.331;0
SAFRA - PRUDENCIAL;1.000.080.109;b1;C;2;S2;SAO PAULO;SP;03/2025;39.113.466;48.369;734.382;1.908.415;3.317.354;1.541.529;801.185;1;8.351.234;37.160;949.106;1.881.634;1.850.324;386.073;48.561;0;5.152.858;199.008;3.032.988;7.704.043;10.629.747;1.620.053;2.623;0;23.188.462;748;10.326;27.457;70.329;67.284;247.744;191.722;615.610;76.952;602.072;270.057;20.074;3.660;0;0;972.814;0;32.951;57.053;69.955;30.604;0;0;190.563;21.920;339.997;61.509;47.989;10.462;671;0;482.549;159.377
BCO COOPERATIVO SICREDI - PRUDENCIAL;1.000.080.745;b1;C;2;S2;PORTO ALEGRE;RS;03/2025;31.272.073;0;155.139;404.131;672.236;272.287;91.538;0;1.595.331;0;8;21;53;12;0;0;95;0;1.770;4.231;10.072;6.217;1.267;0;23.557;0;68.951;197.320;441.180;349.163;880.296;248.384;2.185.294;0;0;0;0;0;0;0;0;0;1.067.315;4.739.311;9.844.647;6.202.327;4.360.009;13;26.213.623;2.055;35.281;132.647;500.694;320.389;263.107;0;1.254.173;0
BMG - PRUDENCIAL;1.000.080.178;b1;C;2;S3;SAO PAULO;SP;03/2025;29.642.022;17.531;322.614;891.272;1.738.559;903.816;457.360;3;4.331.154;1.527.511;3.556.938;1.244.946;900.465;278.591;139.044;0;7.647.496;24;26;70;88;6;0;0;214;0;0;0;0;0;0;0;0;490.245;2.227.113;921.581;2.634.032;4.564.130;2.437.196;10;13.274.307;0;0;0;0;0;0;0;0;203;202;55.842;786;501;18;0;57.553;4.331.299
INTER - PRUDENCIAL;1.000.080.996;b1;C;2;S3;BELO HORIZONTE;MG;03/2025;29.173.093;20.985;331.159;935.385;1.794.270;1.015.152;619.035;20;4.716.007;79.632;551.982;1.171.831;1.460.098;479.959;276.210;940;4.020.653;129;1.559;4.412;7.428;2.063;20;0;15.612;15.216;128.655;243.168;632.670;605.625;2.604.047;2.069.719;6.299.100;1.277.966;7.827.001;2.314.827;63.144;5.085;1.469;125;11.489.616;4.491;11.310;53.939;1.731;0;0;0;71.471;80.220;176.412;193.447;262.180;265.044;1.390.457;129.223;2.496.984;63.650
AGIBANK - PRUDENCIAL;1.000.083.694;b1;C;2;S3;CAMPINAS;SP;03/2025;26.859.871;63.319;755.041;1.827.899;5.110.947;5.435.407;6.450.758;0;19.643.371;277.688;731.973;1.861.636;1.984.092;86.817;33.436;0;4.975.642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.128;218.470;124.459;448.629;790.440;610.510;0;2.240.635;0;0;0;0;0;0;0;0;113;110;0;0;0;0;0;223;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1.000.081.555;b1;I;3;S3;SAO PAULO;SP;03/2025;25.286.537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.387;239.120;739.612;720.408;448.298;456.663;765;2.618.252;170.469;2.937.319;6.824.943;7.028.773;3.954.305;1.751.960;516;22.668.286;0
BANCOOB - PRUDENCIAL;1.000.080.879;b1;C;2;S2;BRASILIA;DF;03/2025;22.980.194;18.126;240.404;621.069;1.383.057;878.065;441.261;0;3.581.982;8.094;43.713;111.810;197.753;90.995;22.248;0;474.613;0;0;0;0;0;0;0;0;2.588;28.970;81.533;184.441;149.098;388.350;123.031;958.011;129.735;1.804.113;8.132.057;364.697;16;0;0;10.430.618;0;177.401;1.046.905;2.267.658;1.936.198;2.065.453;0;7.493.615;55;19.550;3.239;6.860;5.242;6.411;0;41.356;0
BCO CSF S.A. - PRUDENCIAL;1.000.081.610;b2;I;2;S3;SAO PAULO;SP;03/2025;22.715.003;5;2.610;5.746;7.417;2.771;988;0;19.537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.398.588;11.358.150;5.683.263;1.255.186;271;7;0;22.695.466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VOLKSWAGEN - PRUDENCIAL;1.000.080.202;b2;C;3;S3;SAO PAULO;SP;03/2025;21.987.791;703;5.587;14.395;19.046;3.932;14;0;43.677;12.259;8.229;14.803;25.773;6.793;13;0;67.869;179.009;2.739.805;7.014.341;9.986.321;1.951.468;5.300;0;21.876.245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
